偏移	大小	类型	字符串
00008494	0a	A	[A\A]A^A_]
000084a4	0a	A	[A\A]A^A_]
000084b3	0a	A	AWAVAUATSH
000087e9	0b	A	X[A\A]A^A_]
0000885a	0b	A	AWAVAUATSPI
000088d4	0a	A	[A\A]A^A_]
00008942	0b	A	AWAVAUATSPH
00008a6b	0a	A	[A\A]A^A_]
00008a7b	0a	A	AWAVAUATSH
00009166	0a	A	[A\A]A^A_]
0000917a	06	A	AWAVSH
00009226	07	A	([A^A_]
00009233	08	A	AWAVATSH
00009302	09	A	0[A\A^A_]
00009640	35	A	@(#)PROGRAM:Instruments  PROJECT:Instruments-64556.12
0000973c	18	A	sharedDocumentController
00009755	20	A	invokeImportFileToTemplateAction
00009776	13	A	sharedPluginManager
0000978a	14	A	sharedContextManager
0000979f	16	A	registerPluginHandler:
000097b6	08	A	mainMenu
000097bf	09	A	itemArray
000097c9	15	A	indexOfItemWithTitle:
000097df	19	A	objectAtIndexedSubscript:
000097f9	07	A	submenu
00009801	15	A	actionsForObjectType:
00009817	0d	A	numberOfItems
00009825	06	A	action
0000982c	10	A	_dispatchAction:
0000983d	11	A	representedObject
0000984f	14	A	validateWithContext:
00009864	09	A	setState:
0000986e	11	A	importToTemplate:
00009880	11	A	validateMenuItem:
00009892	12	A	invokeWithContext:
000098a5	0a	A	sendEvent:
000098b0	2f	A	nextEventMatchingMask:untilDate:inMode:dequeue:
000098e0	19	A	currentNotificationCenter
000098fa	0c	A	setDelegate:
00009907	16	A	initWithNextResponder:
0000991e	1e	A	getIssuesAsXML:afterSignature:
0000993d	09	A	conflicts
00009947	1e	A	initWithConflicts:otherIssues:
00009966	0f	A	setMessageText:
0000997b	11	A	setAccessoryView:
0000998d	0e	A	setAlertStyle:
0000999c	13	A	addButtonWithTitle:
000099b0	08	A	runModal
000099b9	0a	A	terminate:
000099c4	3b	A	setupIconAndTemporaryPackagesIfRequestedWithIssueResponder:
00009a00	12	A	defaultCoordinator
00009a13	0f	A	finishLaunching
00009a23	16	A	disableRelaunchOnLogin
00009a3a	10	A	performSelector:
00009a4b	14	A	setupDocumentActions
00009a60	16	A	sharedPreferencesModel
00009a77	16	A	instantiatePreferences
00009a8e	0d	A	defaultCenter
00009a9c	10	A	toggleRecording:
00009aad	21	A	addObserver:selector:name:object:
00009acf	14	A	setServicesProvider:
00009ae4	10	A	sharedSpinTracer
00009af5	0d	A	nextResponder
00009b03	11	A	setNextResponder:
00009b15	22	A	showModernizationWindowIfNecessary
00009b38	19	A	sharedToolchainDylibCache
00009b52	0a	A	refreshNow
00009b5d	0e	A	dvt_isNonEmpty
00009b6c	2a	A	countByEnumeratingWithState:objects:count:
00009b97	10	A	packageToInstall
00009ba8	0f	A	distributionURL
00009bb8	21	A	xr_isUserInstalledDistributionURL
00009bda	0a	A	addObject:
00009be5	05	A	count
00009beb	19	A	temporarilyLoadedPackages
00009c05	11	A	stringWithFormat:
00009c17	13	A	setInformativeText:
00009c2b	1f	A	xr_deleteInstalledDistribution:
00009c4b	20	A	checkSecureCodingOfLoadedClasses
00009c6c	13	A	showTemplateChooser
00009c80	0c	A	notification
00009c8d	07	A	request
00009c95	07	A	content
00009c9d	08	A	userInfo
00009ca6	18	A	objectForKeyedSubscript:
00009cbf	0e	A	URLWithString:
00009cce	38	A	openDocumentWithContentsOfURL:display:completionHandler:
00009d07	0b	A	processInfo
00009d13	09	A	arguments
00009d1d	0e	A	defaultManager
00009d2c	10	A	isEqualToString:
00009d3d	0d	A	pathExtension
00009d4b	1d	A	fileExistsAtPath:isDirectory:
00009d69	14	A	standardUserDefaults
00009d7e	0b	A	boolForKey:
00009d8a	0b	A	imageNamed:
00009d96	18	A	setApplicationIconImage:
00009db4	20	A	dvt_deriveSubsidiaryImageOfSize:
00009dd5	0f	A	isAppleInternal
00009de5	0c	A	buildVersion
00009df2	16	A	whitespaceCharacterSet
00009e09	25	A	componentsSeparatedByCharactersInSet:
00009e2f	0b	A	firstObject
00009e3b	24	A	adjustApplicationIconWithAppVersion:
00009e60	10	A	fileURLWithPath:
00009e71	29	A	loadTemporaryPackageAtURL:issueResponder:
00009e9b	20	A	setAllowsAutomaticWindowTabbing:
00009ebc	0e	A	sharedInstance
00009ecb	23	A	enableLoadSensingDynamicFrameRates:
00009eef	14	A	showPreferencesPanel
00009f04	09	A	documents
00009f0e	09	A	isRunning
00009f18	11	A	endRunWithReason:
00009f2a	0a	A	mainWindow
00009f35	0d	A	attachedSheet
00009f43	09	A	endSheet:
00009f4d	1c	A	postNotificationName:object:
00009f6a	15	A	dropTemporaryPackages
00009f80	0f	A	initWithString:
00009f90	1c	A	URLByAppendingPathComponent:
00009fad	0f	A	sharedWorkspace
00009fbd	08	A	openURL:
00009fc6	12	A	mostRecentDocument
00009fde	08	A	loadView
00009fec	09	A	isEnabled
00009ff6	13	A	elementWithEnabled:
0000a00a	08	A	setSpin:
0000a013	08	A	traceURL
0000a021	0d	A	presentError:
0000a02f	08	A	isEqual:
0000a038	05	A	class
0000a043	1b	A	performSelector:withObject:
0000a05f	26	A	performSelector:withObject:withObject:
0000a086	07	A	isProxy
0000a08e	0e	A	isKindOfClass:
0000a09d	10	A	isMemberOfClass:
0000a0ae	13	A	conformsToProtocol:
0000a0c2	13	A	respondsToSelector:
0000a0d6	06	A	retain
0000a0dd	07	A	release
0000a0e5	0b	A	autorelease
0000a0f1	0b	A	retainCount
0000a107	0a	A	superclass
0000a112	0b	A	description
0000a11e	10	A	debugDescription
0000a139	10	A	T@"NSString",R,C
0000a14a	45	A	userNotificationCenter:willPresentNotification:withCompletionHandler:
0000a190	4c	A	userNotificationCenter:didReceiveNotificationResponse:withCompletionHandler:
0000a1dd	33	A	userNotificationCenter:openSettingsForNotification:
0000a211	1b	A	applicationShouldTerminate:
0000a22d	15	A	application:openURLs:
0000a243	15	A	application:openFile:
0000a259	16	A	application:openFiles:
0000a270	19	A	application:openTempFile:
0000a28a	22	A	applicationShouldOpenUntitledFile:
0000a2ad	1c	A	applicationOpenUntitledFile:
0000a2ca	1e	A	application:openFileWithoutUI:
0000a2e9	16	A	application:printFile:
0000a300	34	A	application:printFiles:withSettings:showPrintPanels:
0000a335	30	A	applicationShouldTerminateAfterLastWindowClosed:
0000a366	30	A	applicationShouldHandleReopen:hasVisibleWindows:
0000a397	14	A	applicationDockMenu:
0000a3ac	1d	A	application:willPresentError:
0000a3ca	3d	A	application:didRegisterForRemoteNotificationsWithDeviceToken:
0000a408	3d	A	application:didFailToRegisterForRemoteNotificationsWithError:
0000a446	29	A	application:didReceiveRemoteNotification:
0000a470	29	A	applicationSupportsSecureRestorableState:
0000a49a	1d	A	application:handlerForIntent:
0000a4b8	26	A	application:willEncodeRestorableState:
0000a4df	25	A	application:didDecodeRestorableState:
0000a505	2d	A	application:willContinueUserActivityWithType:
0000a533	34	A	application:continueUserActivity:restorationHandler:
0000a568	38	A	application:didFailToContinueUserActivityWithType:error:
0000a5a1	22	A	application:didUpdateUserActivity:
0000a5c4	33	A	application:userDidAcceptCloudKitShareWithMetadata:
0000a5f8	1f	A	application:delegateHandlesKey:
0000a618	35	A	applicationShouldAutomaticallyLocalizeKeyEquivalents:
0000a64e	1f	A	applicationWillFinishLaunching:
0000a66e	1e	A	applicationDidFinishLaunching:
0000a68d	14	A	applicationWillHide:
0000a6a2	13	A	applicationDidHide:
0000a6b6	16	A	applicationWillUnhide:
0000a6cd	15	A	applicationDidUnhide:
0000a6e3	1c	A	applicationWillBecomeActive:
0000a700	1b	A	applicationDidBecomeActive:
0000a71c	1c	A	applicationWillResignActive:
0000a739	1b	A	applicationDidResignActive:
0000a755	16	A	applicationWillUpdate:
0000a76c	15	A	applicationDidUpdate:
0000a782	19	A	applicationWillTerminate:
0000a79c	25	A	applicationDidChangeScreenParameters:
0000a7c2	23	A	applicationDidChangeOcclusionState:
0000a7e6	2e	A	applicationProtectedDataWillBecomeUnavailable:
0000a815	2b	A	applicationProtectedDataDidBecomeAvailable:
0000a841	15	A	showPreferencesPanel:
0000a857	0c	A	newDocument:
0000a864	12	A	showDeveloperHelp:
0000a877	14	A	toggleSpinProfiling:
0000a88c	19	A	importPerformanceSession:
0000a8a6	0d	A	.cxx_destruct
0000a8b4	0b	A	_spinTracer
0000a8c0	13	A	_dockMenuController
0000a8d4	10	A	_serviceProvider
0000a8e5	0d	A	separatorItem
0000a8f3	13	A	insertItem:atIndex:
0000a907	17	A	displayNameWithContext:
0000a91f	17	A	caseInsensitiveCompare:
0000a937	1b	A	sortedArrayUsingComparator:
0000a953	31	A	insertItemWithTitle:action:keyEquivalent:atIndex:
0000a985	1b	A	setAccessibilityIdentifier:
0000a9a1	0a	A	setTarget:
0000a9ac	15	A	setRepresentedObject:
0000a9c2	0f	A	currentDocument
0000a9d2	0c	A	setDocument:
0000a9df	08	A	document
0000a9e8	11	A	selectedRunNumber
0000a9fa	0d	A	setRunNumber:
0000aa08	17	A	arrayWithObjects:count:
0000aa20	0b	A	setTargets:
0000aa2c	14	A	defaultTemplatePaths
0000aa41	0e	A	rangeOfString:
0000aa50	14	A	frontmostApplication
0000aa65	12	A	currentApplication
0000aa78	0c	A	sharedDevice
0000aa85	0d	A	localizedName
0000aa93	11	A	processIdentifier
0000aaa5	18	A	initWithDevice:path:pid:
0000aabe	1a	A	setTargetsExistingProcess:
0000aad9	11	A	setTargetsDevice:
0000aaeb	16	A	setTargetsAllProcesses
0000ab02	20	A	recordTraceAfterCommandPreflight
0000ab23	2a	A	targetFrontAppWithTemplate:userData:error:
0000ab53	11	A	turnOnSpinTracing
0000ab65	35	A	performSelectorOnMainThread:withObject:waitUntilDone:
0000ab9b	12	A	addChangeObserver:
0000abae	15	A	removeChangeObserver:
0000abc4	07	A	dealloc
0000abcc	06	A	object
0000abd3	12	A	turnOffSpinTracing
0000abe6	06	A	update
0000abed	15	A	afterOperation:block:
0000ac03	19	A	currentTimeProfileRequest
0000ac1d	0f	A	modelDidChange:
0000ac2d	1d	A	setCurrentTimeProfileRequest:
0000ac4b	08	A	_enabled
0000ac54	1a	A	_currentTimeProfileRequest
0000ac6f	3f	A	T@"XRTimeProfileRequestElement",&,N,V_currentTimeProfileRequest
0000acaf	0e	A	numberWithInt:
0000acbe	24	A	dictionaryWithObjects:forKeys:count:
0000ace3	18	A	pasteboardWithUniqueName
0000acfc	13	A	declareTypes:owner:
0000ad10	18	A	setPropertyList:forType:
0000ad29	13	A	canBecomeMainWindow
0000ad3d	12	A	canBecomeKeyWindow
0000ad50	1b	A	isMovableByWindowBackground
0000ad6c	0d	A	objectForKey:
0000ad7a	11	A	registerDefaults:
0000ad8c	23	A	symbolicationModernizationNecessary
0000adb0	16	A	initWithWindowNibName:
0000adc7	06	A	window
0000adce	1a	A	dvt_centerOnMainMenuScreen
0000ade9	12	A	runModalForWindow:
0000adfc	0a	A	setWindow:
0000ae07	11	A	fileExistsAtPath:
0000ae19	0e	A	setIdentifier:
0000ae28	0e	A	setRestorable:
0000ae37	09	A	stopModal
0000ae41	05	A	close
0000ae47	22	A	enumerateKeysAndObjectsUsingBlock:
0000ae6a	41	A	launchedTaskWithExecutableURL:arguments:error:terminationHandler:
0000aeac	0d	A	waitUntilExit
0000aeba	11	A	terminationStatus
0000aecc	1e	A	errorWithDomain:code:userInfo:
0000aeeb	14	A	localizedDescription
0000af00	0a	A	initialize
0000af0b	0d	A	windowDidLoad
0000af19	10	A	windowWillClose:
0000af2a	0d	A	ignoreUpdate:
0000af38	0e	A	performUpdate:
0000af47	11	A	setObject:forKey:
0000af59	13	A	removeObjectForKey:
0000af72	05	A	v8@?0
0000af78	1f	A	Fatal errors preventing launch.
0000af98	05	A	Close
0000af9e	29	A	com.apple.dt.instruments.toggle.recording
0000afc8	28	A	Some errors were detected during launch.
0000aff1	13	A	Remove %d Package%s
0000b008	21	A	-[PFTApplication finishLaunching]
0000b02a	10	A	PFTApplication.m
0000b03b	14	A	needsUninstallOption
0000b050	2c	A	%d package%s will be permanently uninstalled
0000b07d	68	A	Removed distributions will need to be reinstalled by opening them in Instruments and choosing "Install".
0000b0e6	06	A	Remove
0000b0ed	06	A	Cancel
0000b0f9	23	A	v28@?0@"NSDocument"8c16@"NSError"20
0000b11d	13	A	-DTTemporaryPackage
0000b131	08	A	instrdst
0000b13a	18	A	MustShowDistributionIcon
0000b153	0b	A	Instruments
0000b15f	12	A	DisableIconBadging
0000b172	1b	A	https://apdreview.apple.com
0000b18e	16	A	https://help.apple.com
0000b1a5	22	A	instruments/developer/mac/current/
0000b1c8	12	A	Internal Error: %@
0000b1db	23	A	q24@?0@"<XRAction>"8@"<XRAction>"16
0000b1ff	43	A	-[XRInstrumentsServices targetFrontAppWithTemplate:userData:error:]
0000b243	05	A	Leaks
0000b249	13	A	Leaks.tracetemplate
0000b25d	4f	A	Profiling Instruments from Instruments could deadlock, setting to All Processes
0000b2ad	2a	A	-[XRAutomaticSpinTracer turnOnSpinTracing]
0000b2d8	2b	A	-[XRAutomaticSpinTracer turnOffSpinTracing]
0000b304	07	A	_enable
0000b30c	22	A	CGSRegisterNotifyProc returned %d.
0000b330	3c	A	CGSEventSetAppIsUnresponsiveNotificationTimeout returned %d.
0000b36e	14	A	Spin tracing enabled
0000b383	05	A	start
0000b38d	07	A	purpose
0000b395	08	A	duration
0000b3a0	06	A	period
0000b3ab	07	A	command
0000b3b3	1e	A	com.apple.dt.instruments.bgcmd
0000b3d2	1c	A	Toggle Instruments Recording
0000b3ef	15	A	Spin tracing disabled
0000b405	20	A	XRSymbolicationModernizationSkip
0000b426	1a	A	/usr/local/bin/dsymForUUID
0000b441	14	A	XRDSYMScriptLocation
0000b456	11	A	XRDSYMScriptUsage
0000b468	32	A	DontAskMeSymbolicationModernization_DomainDefaults
0000b49b	34	A	DontAskMeSymbolicationModernization_SetupInvocations
0000b4d0	0e	A	DomainDefaults
0000b4df	10	A	SetupInvocations
0000b4f0	18	A	com.apple.dt.Instruments
0000b509	1a	A	SymbolicationModernization
0000b524	20	A	symbolicationModernizationWindow
0000b545	22	A	XRSymbolicationModernizationWindow
0000b568	14	A	Don't Download dSYMs
0000b57d	19	A	v32@?0@"NSString"8@16^c24
0000b597	23	A	v32@?0@"NSString"8@"NSString"16^c24
0000b5bb	10	A	v16@?0@"NSTask"8
0000b5cc	30	A	command '%@ %@' exited with non-zero status (%d)
0000b5fd	1a	A	Symbolication Update Error
0000b620	2e	A	Could not set RLIMIT_NOFILE to 10000, errno %d
0000b650	2f	A	Modernization check skipped due to user default
0000b680	3d	A	Modernization check skipped due to missing lookup binary '%@'
0000b6c0	4a	A	Modernization needed due to new domain defaults settings in embedded plist
0000b710	4f	A	Modernization needed due to new dsymForUUID setup invocations in embedded plist
0000b760	42	A	Writing preference in domain '%{public}@': %{public}@ = %{public}@
0000b7b0	20	A	Invoking `%{public}@ %{public}@`
0000b7d1	0e	A	PFTApplication
0000b7e0	20	A	UNUserNotificationCenterDelegate
0000b801	08	A	NSObject
0000b80a	14	A	NSMenuItemValidation
0000b81f	15	A	NSApplicationDelegate
0000b837	15	A	XRInstrumentsServices
0000b84d	15	A	XRAutomaticSpinTracer
0000b863	16	A	XRTimeProfileRequestor
0000b87a	17	A	XRUIModelChangeObserver
0000b894	22	A	XRSymbolicationModernizationWindow
0000b8b7	2c	A	XRSymbolicationModernizationWindowController
0000b8e4	0a	A	c24@0:8@16
0000b8ef	07	A	#16@0:8
0000b8f7	07	A	@16@0:8
0000b8ff	0a	A	@24@0:8:16
0000b90a	0d	A	@32@0:8:16@24
0000b918	10	A	@40@0:8:16@24@32
0000b929	07	A	c16@0:8
0000b931	0a	A	c24@0:8#16
0000b93c	0a	A	c24@0:8:16
0000b947	08	A	Vv16@0:8
0000b950	07	A	Q16@0:8
0000b958	11	A	^{_NSZone=}16@0:8
0000b96a	14	A	c24@0:8@"Protocol"16
0000b97f	11	A	@"NSString"16@0:8
0000b991	11	A	v40@0:8@16@24@?32
0000b9a3	0d	A	v32@0:8@16@24
0000b9b1	41	A	v40@0:8@"UNUserNotificationCenter"16@"UNNotification"24@?<v@?Q>32
0000b9f3	48	A	v40@0:8@"UNUserNotificationCenter"16@"UNNotificationResponse"24@?<v@?>32
0000ba3c	37	A	v32@0:8@"UNUserNotificationCenter"16@"UNNotification"24
0000ba74	16	A	c24@0:8@"NSMenuItem"16
0000ba8b	0a	A	Q24@0:8@16
0000ba96	0d	A	c32@0:8@16@24
0000baa4	13	A	Q44@0:8@16@24@32c40
0000bab8	0d	A	c28@0:8@16c24
0000bac6	0a	A	@24@0:8@16
0000bad1	0d	A	@32@0:8@16@24
0000badf	11	A	c40@0:8@16@24@?32
0000baf1	10	A	v40@0:8@16@24@32
0000bb02	0a	A	v24@0:8@16
0000bb0d	19	A	Q24@0:8@"NSApplication"16
0000bb27	25	A	v32@0:8@"NSApplication"16@"NSArray"24
0000bb4d	26	A	c32@0:8@"NSApplication"16@"NSString"24
0000bb74	19	A	c24@0:8@"NSApplication"16
0000bb8e	17	A	c32@0:8@16@"NSString"24
0000bba6	39	A	Q44@0:8@"NSApplication"16@"NSArray"24@"NSDictionary"32c40
0000bbe0	1c	A	c28@0:8@"NSApplication"16c24
0000bbfd	21	A	@"NSMenu"24@0:8@"NSApplication"16
0000bc1f	2e	A	@"NSError"32@0:8@"NSApplication"16@"NSError"24
0000bc4e	24	A	v32@0:8@"NSApplication"16@"NSData"24
0000bc73	25	A	v32@0:8@"NSApplication"16@"NSError"24
0000bc99	2a	A	v32@0:8@"NSApplication"16@"NSDictionary"24
0000bcc4	26	A	@32@0:8@"NSApplication"16@"INIntent"24
0000bceb	25	A	v32@0:8@"NSApplication"16@"NSCoder"24
0000bd11	3f	A	c40@0:8@"NSApplication"16@"NSUserActivity"24@?<v@?@"NSArray">32
0000bd51	32	A	v40@0:8@"NSApplication"16@"NSString"24@"NSError"32
0000bd84	2c	A	v32@0:8@"NSApplication"16@"NSUserActivity"24
0000bdb1	2d	A	v32@0:8@"NSApplication"16@"CKShareMetadata"24
0000bddf	1a	A	v24@0:8@"NSNotification"16
0000bdfa	07	A	v16@0:8
0000be02	13	A	@44@0:8Q16@24@32c40
0000be16	18	A	@"XRAutomaticSpinTracer"
0000be2f	1b	A	@"XRDockMenuViewController"
0000be4b	18	A	@"XRInstrumentsServices"
0000be64	11	A	v40@0:8@16@24^@32
0000be76	24	A	@"XRTimeProfileRequestElement"16@0:8
0000be9d	1e	A	@"XRTimeProfileRequestElement"
